ts,mmsi,longitude,latitude,is_menifot,sog,cog,heading
2024-04-03 9:25:50,224772000,33.716897,34.455823,NO,7.10,359.9,511
2024-04-03 7:58:41,224772000,33.73563,34.29448,NO,8.08,0,511
2024-04-03 6:41:27,224772000,33.765607,34.156673,NO,8.70,358.5,511
2024-04-03 9:23:17,224772000,33.71772,34.45,NO,19.40,105.8,511
2024-04-03 6:45:53,224772000,33.764527,34.162037,NO,6.40,357.7,511
2024-04-03 9:28:42,224772000,33.716843,34.460697,NO,3.43,0,511
2024-04-03 9:42:23,224772000,33.716187,34.485813,NO,12.10,190.2,511
2024-04-03 6:51:26,224772000,33.76192,34.174493,NO,4.96,0,511
2024-04-03 5:00:24,224772000,35.49079,33.818263,YES,0.30,0,511
2024-04-03 2:15:50,224772000,33.81942,33.709807,NO,6.40,355.1,133
2024-04-03 9:30:02,224772000,33.716793,34.463237,NO,7.07,0,511
2024-04-03 4:19:02,224772000,33.796293,33.922133,NO,5.50,357.6,511
2024-04-03 6:48:17,224772000,33.763223,34.168783,NO,8.60,352.6,511
2024-04-03 9:54:52,224772000,33.71556,34.509967,NO,6.50,0.8,511
2024-04-03 0:36:57,224772000,33.845453,33.539747,NO,4.60,352.5,349
2024-04-03 6:04:00,224772000,35.490903,33.81822,YES,0.70,117.5,511
2024-04-03 10:11:29,224772000,33.71368,34.5408,NO,6.30,353.7,511
2024-04-03 7:56:43,224772000,33.73625,34.291057,NO,16.00,0,511
2024-04-03 8:19:32,224772000,33.729797,34.331893,NO,8.10,284.4,511
2024-04-03 6:43:26,224772000,33.764943,34.16028,NO,6.50,349.7,511
2024-04-03 9:13:47,224772000,33.717817,34.428477,NO,9.70,0,511
2024-04-03 6:35:19,224772000,33.767627,34.146237,NO,8.20,358.2,511
2024-04-03 8:22:08,224772000,33.729053,34.33645,NO,264.61,0,511
2024-04-03 2:04:07,224772000,33.821753,33.689153,NO,6.10,352.2,155
2024-04-03 2:45:11,224772000,33.812683,33.762023,NO,6.20,7.512748,511
2024-04-03 10:03:17,224772000,33.714927,34.525693,NO,11.10,4.3,511
2024-04-03 5:06:01,224772000,35.4908,33.81841,YES,3.90,11.6,511
2024-04-03 5:13:12,224772000,35.4908,33.818247,YES,0.00,148.6,511
2024-04-03 10:57:18,224772000,33.705327,34.62287,NO,6.30,354.4,511
2024-04-03 7:39:29,224772000,33.74213,34.260393,NO,0.00,0,511
2024-04-03 9:24:05,224772000,33.717387,34.450997,NO,9.10,1.5,511
2024-04-03 6:47:21,224772000,33.76357,34.167087,NO,4.80,344.7,511
2024-04-03 4:00:31,224772000,35.490763,33.818333,YES,0.00,53.7,511
2024-04-03 10:55:49,224772000,33.70564,34.620387,NO,10.10,357.4,511
2024-04-03 9:42:33,224772000,33.71638,34.483177,NO,7.00,358.1,511
2024-04-03 10:00:05,224772000,33.715127,34.519703,NO,5.90,351.7,511
2024-04-03 3:34:59,224772000,33.80142,33.84743,NO,6.10,0,511
